image_name,tags
test_0,clear primary
test_1,clear primary
test_2,habitation primary road
test_3,clear primary
test_4,habitation partly_cloudy primary
test_5,clear primary
test_6,partly_cloudy primary
test_7,agriculture partly_cloudy primary road
test_8,clear primary
test_9,primary
test_10,agriculture cultivation primary road
test_11,agriculture clear cultivation primary road water
test_12,cloudy partly_cloudy
test_13,clear primary
test_14,clear primary
test_15,clear primary
test_16,agriculture clear primary water
test_17,clear primary road
test_18,clear primary
test_19,clear primary
test_20,clear primary
test_21,primary road
test_22,primary
test_23,cloudy
test_24,agriculture clear
test_25,clear primary
test_26,agriculture clear primary road water
test_27,agriculture clear habitation primary road
test_28,agriculture primary road
test_29,clear primary
test_30,primary
test_31,cloudy haze
test_32,clear primary
test_33,primary water
test_34,cloudy
test_35,clear primary
test_36,clear primary
test_37,clear primary
test_38,clear primary
test_39,clear primary
test_40,agriculture clear primary road water
test_41,clear primary
test_42,clear primary
test_43,agriculture clear primary
test_44,clear primary
test_45,cloudy primary
test_46,cloudy water
test_47,clear primary
test_48,clear primary
test_49,primary
test_50,clear primary
test_51,clear primary
test_52,agriculture primary road
test_53,clear primary water
test_54,clear primary
test_55,clear primary
test_56,clear primary
test_57,agriculture clear cultivation partly_cloudy primary
test_58,clear primary
test_59,clear primary water
test_60,clear primary road
test_61,cloudy
test_62,agriculture primary road
test_63,clear primary
test_64,clear primary
test_65,clear primary
test_66,clear primary
test_67,clear habitation primary road
test_68,cloudy
test_69,clear primary
test_70,clear primary
test_71,primary
test_72,partly_cloudy primary
test_73,clear primary
test_74,agriculture clear primary
test_75,clear primary selective_logging
test_76,clear primary
test_77,clear primary
test_78,clear primary
test_79,clear primary
test_80,primary
test_81,cloudy
test_82,clear primary
test_83,clear primary road
test_84,primary water
test_85,agriculture clear primary road
test_86,clear primary
test_87,clear primary
test_88,clear primary
test_89,cloudy haze
test_90,cloudy
test_91,clear primary road
test_92,agriculture cloudy road
test_93,clear primary
test_94,clear primary
test_95,clear primary
test_96,cloudy primary
test_97,clear primary
test_98,agriculture clear primary
test_99,agriculture road water
test_100,clear primary water
test_101,agriculture road
test_102,agriculture clear primary road
test_103,clear primary
test_104,clear primary
test_105,clear primary
test_106,primary
test_107,clear primary water
test_108,partly_cloudy primary road water
test_109,
test_110,clear primary
test_111,primary
test_112,primary water
test_113,clear primary
test_114,clear
test_115,clear primary
test_116,primary
test_117,clear primary
test_118,agriculture bare_ground clear habitation primary road
test_119,clear primary
test_120,primary
test_121,clear primary
test_122,clear primary
test_123,clear primary
test_124,partly_cloudy primary
test_125,agriculture cultivation partly_cloudy primary
test_126,agriculture clear primary
test_127,cloudy haze partly_cloudy water
test_128,primary
test_129,clear primary
test_130,clear primary
test_131,clear primary
test_132,clear primary
test_133,partly_cloudy primary
test_134,clear primary
test_135,clear primary
test_136,clear primary
test_137,agriculture clear cultivation primary road
test_138,agriculture clear primary
test_139,clear primary
test_140,clear primary
test_141,clear primary
test_142,clear primary
test_143,clear primary
test_144,clear primary road
test_145,clear primary
test_146,clear habitation primary
test_147,clear primary
test_148,agriculture clear primary
test_149,clear primary
test_150,clear primary
test_151,clear primary
test_152,clear primary
test_153,clear primary
test_154,primary
test_155,partly_cloudy primary
test_156,agriculture clear habitation primary road water
test_157,clear primary road
test_158,clear primary
test_159,agriculture cloudy habitation road
test_160,primary
test_161,clear primary
test_162,clear primary
test_163,clear primary
test_164,clear primary
test_165,primary water
test_166,primary
test_167,clear primary
test_168,clear primary
test_169,partly_cloudy primary
test_170,clear cloudy water
test_171,agriculture clear primary road water
test_172,cloudy
test_173,clear primary
test_174,clear primary
test_175,clear primary
test_176,clear primary
test_177,primary road
test_178,primary
test_179,partly_cloudy primary road water
test_180,primary
test_181,clear primary
test_182,agriculture cultivation primary road selective_logging
test_183,primary
test_184,clear primary
test_185,agriculture clear primary road
test_186,clear primary
test_187,agriculture clear cultivation habitation primary road water
test_188,clear primary
test_189,clear cultivation primary water
test_190,clear primary
test_191,clear primary
test_192,clear primary
test_193,clear primary
test_194,clear primary
test_195,clear primary
test_196,clear primary
test_197,clear primary
test_198,agriculture partly_cloudy primary
test_199,clear primary road
test_200,primary
test_201,primary
test_202,agriculture clear primary
test_203,agriculture clear cloudy habitation road
test_204,primary
test_205,clear primary
test_206,clear primary
test_207,clear primary
test_208,primary
test_209,clear primary
test_210,clear primary
test_211,partly_cloudy primary
test_212,
test_213,clear primary
test_214,clear primary
test_215,clear primary
test_216,agriculture clear habitation primary road
test_217,clear primary
test_218,clear habitation primary road
test_219,clear primary
test_220,cloudy haze
test_221,cloudy partly_cloudy primary water
test_222,cloudy cultivation partly_cloudy
test_223,clear primary
test_224,clear primary
test_225,clear primary
test_226,clear primary
test_227,clear primary
test_228,primary water
test_229,clear primary
test_230,primary
test_231,cloudy
test_232,primary
test_233,clear primary
test_234,primary
test_235,clear primary
test_236,clear primary
test_237,clear cloudy
test_238,agriculture bare_ground clear primary water
test_239,clear primary
test_240,agriculture clear primary
test_241,agriculture cloudy road
test_242,clear habitation primary road
test_243,agriculture habitation partly_cloudy primary road water
test_244,clear primary
test_245,clear primary
test_246,clear primary
test_247,clear primary
test_248,clear primary road
test_249,clear habitation primary road
test_250,agriculture bare_ground clear cultivation water
test_251,agriculture clear cultivation primary water
test_252,agriculture partly_cloudy primary road
test_253,cloudy habitation partly_cloudy
test_254,clear primary
test_255,clear primary
test_256,clear primary
test_257,clear primary water
test_258,clear primary
test_259,clear primary
test_260,primary
test_261,clear primary
test_262,clear primary
test_263,agriculture clear primary water
test_264,primary
test_265,primary road
test_266,clear primary water
test_267,clear primary
test_268,clear primary
test_269,clear primary
test_270,agriculture primary road water
test_271,clear primary
test_272,agriculture clear primary road
test_273,primary
test_274,clear primary water
test_275,primary
test_276,agriculture primary road water
test_277,primary
test_278,clear primary
test_279,clear primary
test_280,partly_cloudy primary
test_281,agriculture clear primary road water
test_282,agriculture habitation partly_cloudy primary road
test_283,clear primary
test_284,clear primary
test_285,clear cultivation partly_cloudy primary
test_286,clear primary
test_287,clear primary
test_288,haze primary water
test_289,clear habitation primary
test_290,clear primary
test_291,clear primary
test_292,clear primary
test_293,primary
test_294,clear primary
test_295,agriculture primary road
test_296,cloudy primary road water
test_297,clear primary
test_298,partly_cloudy
test_299,clear primary
test_300,cloudy partly_cloudy road water
test_301,clear primary
test_302,clear primary
test_303,partly_cloudy primary road
test_304,clear primary
test_305,agriculture road
test_306,clear primary
test_307,clear primary
test_308,clear primary
test_309,clear primary
test_310,clear primary
test_311,clear primary
test_312,clear primary
test_313,agriculture clear cultivation primary water
test_314,cloudy haze
test_315,clear primary
test_316,cloudy road
test_317,clear primary
test_318,clear primary
test_319,agriculture clear habitation primary road slash_burn water
test_320,clear primary
test_321,clear primary
test_322,clear primary
test_323,clear primary
test_324,clear primary
test_325,agriculture clear cultivation primary water
test_326,clear cultivation primary
test_327,primary
test_328,clear primary
test_329,agriculture clear primary road
test_330,clear primary
test_331,primary
test_332,agriculture clear primary
test_333,partly_cloudy primary
test_334,clear primary road
test_335,clear primary
test_336,clear primary
test_337,primary
test_338,primary
test_339,clear primary
test_340,clear primary
test_341,clear primary
test_342,cloudy
test_343,agriculture clear habitation primary road
test_344,clear primary
test_345,artisinal_mine partly_cloudy
test_346,clear primary
test_347,agriculture clear primary road
test_348,primary
test_349,agriculture habitation primary road
test_350,primary
test_351,clear primary
test_352,clear primary
test_353,agriculture road water
test_354,clear primary
test_355,clear primary
test_356,agriculture primary
test_357,clear primary
test_358,primary
test_359,clear primary
test_360,clear primary
test_361,cloudy
test_362,clear primary
test_363,agriculture clear primary road water
test_364,clear primary
test_365,clear primary
test_366,clear primary
test_367,primary
test_368,clear primary
test_369,agriculture clear primary
test_370,clear primary
test_371,clear primary
test_372,clear
test_373,primary
test_374,primary
test_375,agriculture clear primary
test_376,clear primary
test_377,cultivation partly_cloudy primary
test_378,haze primary road
test_379,primary
test_380,clear primary
test_381,primary
test_382,clear cloudy haze
test_383,bare_ground habitation partly_cloudy primary road water
test_384,clear primary
test_385,agriculture clear primary road
test_386,clear primary
test_387,clear primary
test_388,agriculture road
test_389,primary
test_390,partly_cloudy primary
test_391,clear primary
test_392,agriculture clear habitation primary road
test_393,primary
test_394,clear primary
test_395,clear primary
test_396,clear primary
test_397,clear primary
test_398,primary
test_399,agriculture clear primary
test_400,clear primary
test_401,clear primary
test_402,cloudy
test_403,clear primary
test_404,clear primary
test_405,clear primary
test_406,primary
test_407,clear primary
test_408,agriculture clear primary road
test_409,clear primary
test_410,agriculture cloudy haze water
test_411,agriculture clear primary
test_412,clear primary
test_413,primary
test_414,cloudy
test_415,clear primary
test_416,clear primary water
test_417,clear primary
test_418,clear primary
test_419,clear cloudy haze
test_420,agriculture clear primary road
test_421,primary
test_422,clear primary
test_423,clear primary
test_424,clear primary
test_425,clear primary
test_426,clear primary
test_427,clear primary
test_428,clear primary
test_429,agriculture clear primary
test_430,agriculture cultivation partly_cloudy primary water
test_431,clear primary
test_432,clear primary
test_433,clear primary
test_434,agriculture clear primary
test_435,clear habitation primary
test_436,agriculture road water
test_437,clear primary
test_438,clear primary
test_439,agriculture clear primary road water
test_440,agriculture primary
test_441,clear primary
test_442,primary
test_443,road
test_444,agriculture clear cloudy haze road water
test_445,clear primary
test_446,cloudy partly_cloudy primary
test_447,clear primary
test_448,agriculture clear primary water
test_449,primary
test_450,clear primary
test_451,cloudy haze
test_452,primary
test_453,clear primary
test_454,clear primary
test_455,clear primary
test_456,cloudy haze water
test_457,agriculture bare_ground cloudy
test_458,agriculture cultivation habitation haze partly_cloudy primary
test_459,clear primary
test_460,agriculture clear primary
test_461,agriculture clear primary road water
test_462,clear primary
test_463,clear primary
test_464,clear primary
test_465,primary
test_466,clear primary
test_467,primary
test_468,clear primary
test_469,clear primary
test_470,clear primary
test_471,clear primary
test_472,cloudy partly_cloudy primary road water
test_473,agriculture partly_cloudy primary road
test_474,clear primary
test_475,clear primary
test_476,clear cloudy primary water
test_477,agriculture clear cultivation primary
test_478,agriculture clear partly_cloudy primary road
test_479,cloudy
test_480,clear primary water
test_481,clear primary
test_482,clear primary
test_483,primary
test_484,partly_cloudy
test_485,primary
test_486,clear primary
test_487,clear habitation primary road
test_488,clear primary
test_489,clear primary
test_490,primary
test_491,agriculture clear habitation primary road water
test_492,clear primary
test_493,clear primary
test_494,clear primary
test_495,clear primary
test_496,clear primary
test_497,primary
test_498,primary
test_499,clear primary
test_500,clear primary
test_501,clear primary
test_502,clear primary
test_503,agriculture clear habitation primary road
test_504,agriculture clear primary
test_505,primary road
test_506,clear primary
test_507,primary
test_508,agriculture clear primary
test_509,clear primary
test_510,
test_511,agriculture primary
test_512,primary
test_513,clear primary
test_514,primary water
test_515,primary
test_516,clear primary
test_517,haze primary
test_518,agriculture habitation partly_cloudy primary road
test_519,primary
test_520,agriculture cloudy
test_521,clear primary
test_522,primary
test_523,clear primary
test_524,primary
test_525,clear primary
test_526,agriculture clear habitation primary road water
test_527,agriculture clear primary
test_528,primary
test_529,clear primary
test_530,agriculture primary
test_531,agriculture clear primary
test_532,clear primary
test_533,clear primary
test_534,clear primary
test_535,clear primary
test_536,agriculture cloudy road water
test_537,clear primary
test_538,clear primary
test_539,primary
test_540,clear primary
test_541,primary water
test_542,primary
test_543,clear primary
test_544,clear primary
test_545,clear primary
test_546,clear partly_cloudy primary water
test_547,clear primary water
test_548,artisinal_mine clear primary
test_549,cloudy
test_550,clear primary water
test_551,agriculture clear primary road
test_552,clear primary
